L	30	0	106	50	1	0	1	0
L	30	1	106	40	1	1	1	1
L	30	2	106	30	1	2	1	2
L	30	3	106	20	1	3	1	3
L	30	4	106	10	1	4	1	4
L	30	5	106	0	1	5	1	5
L	30	6	106	51	1	6	1	6
L	30	7	106	41	1	7	1	7
L	30	8	106	31	1	8	1	8
L	30	9	106	21	1	9	1	9
L	30	10	106	11	1	10	1	10
L	30	11	106	1	1	11	1	11
L	30	12	106	52	1	12	1	12
L	30	13	106	42	1	13	1	13
L	30	14	106	32	1	14	1	14
L	30	15	106	22	1	15	1	15
L	30	16	106	12	2	0	1	16
L	30	17	106	2	2	1	1	17
L	30	18	106	53	2	2	1	18
L	30	19	106	43	2	3	1	19
L	30	20	106	33	2	4	1	20
L	30	21	106	23	2	5	1	21
L	30	22	106	13	2	6	1	22
L	30	23	106	3	2	7	1	23
L	30	24	106	54	2	8	1	24
L	30	25	106	44	2	9	1	25
L	30	26	106	34	2	10	1	26
L	30	27	106	24	2	11	1	27
L	30	28	106	14	2	12	1	28
L	30	29	106	4	2	13	1	29
L	30	30	106	55	2	14	1	30
L	30	31	106	45	2	15	1	31
L	30	32	106	35	3	0	1	32
L	30	33	106	25	3	1	1	33
L	30	34	106	15	3	2	1	34
L	30	35	106	5	3	3	1	35
L	30	36	106	36	3	4	1	36
L	30	37	106	26	3	5	1	37
L	60	0	107	50	3	6	1	38
L	60	1	107	40	3	7	1	39
L	60	2	107	30	3	8	1	40
L	60	3	107	20	3	9	1	41
L	60	4	107	10	3	10	1	42
L	60	5	107	0	3	11	1	43
L	60	6	107	51	4	0	1	100
L	60	7	107	41	4	1	1	101
L	60	8	107	31	4	2	1	102
L	60	9	107	21	4	3	1	103
L	60	10	107	11	4	4	1	104
L	60	11	107	1	4	5	1	105
L	60	12	107	52	4	6	1	106
L	60	13	107	42	4	7	1	107
L	60	14	107	32	4	8	1	108
L	60	15	107	22	4	9	1	109
L	60	16	107	12	4	10	1	110
L	60	17	107	2	4	11	1	111
L	60	18	107	53	4	12	1	112
L	60	19	107	43	4	13	1	113
L	60	20	107	33	4	14	1	114
L	60	21	107	23	4	15	1	115
L	60	22	107	13	5	0	1	116
L	60	23	107	3	5	1	1	117
L	60	24	107	54	5	2	1	118
L	60	25	107	44	5	3	1	119
L	60	26	107	34	5	4	1	120
L	60	27	107	24	5	5	1	121
L	60	28	107	14	5	6	1	122
L	60	29	107	4	5	7	1	123
L	60	30	107	55	5	8	1	124
L	60	31	107	45	5	9	1	125
L	60	32	107	35	5	10	1	126
L	60	33	107	25	5	11	1	127
L	60	34	107	15	5	12	1	128
L	60	35	107	5	5	13	1	129
L	60	36	107	36	5	14	1	130
L	60	37	107	26	5	15	1	131
L	90	0	108	50	6	0	1	132
L	90	1	108	40	6	1	1	133
L	90	2	108	30	6	2	1	134
L	90	3	108	20	6	3	1	135
L	90	4	108	10	6	4	1	136
L	90	5	108	0	6	5	1	137
L	90	6	108	51	6	6	1	138
L	90	7	108	41	6	7	1	139
L	90	8	108	31	6	8	1	140
L	90	9	108	21	6	9	1	141
L	90	10	108	11	6	10	1	142
L	90	11	108	1	6	11	1	143
L	90	12	108	52	7	0	1	200
L	90	13	108	42	7	1	1	201
L	90	14	108	32	7	2	1	202
L	90	15	108	22	7	3	1	203
L	90	16	108	12	7	4	1	204
L	90	17	108	2	7	5	1	205
L	90	18	108	53	7	6	1	206
L	90	19	108	43	7	7	1	207
L	90	20	108	33	7	8	1	208
L	90	21	108	23	7	9	1	209
L	90	22	108	13	7	10	1	210
L	90	23	108	3	7	11	1	211
L	90	24	108	54	7	12	1	212
L	90	25	108	44	7	13	1	213
L	90	26	108	34	7	14	1	214
L	90	27	108	24	7	15	1	215
L	90	28	108	14	8	0	1	216
L	90	29	108	4	8	1	1	217
L	90	30	108	55	8	2	1	218
L	90	31	108	45	8	3	1	226
L	90	32	108	35	8	4	1	220
L	90	33	108	25	8	5	1	221
L	90	34	108	15	8	6	1	222
L	90	35	108	5	8	7	1	223
L	90	36	108	36	8	8	1	224
L	90	37	108	26	8	9	1	225
R	30	0	104	55	9	0	1	300
R	30	1	104	45	9	1	1	301
R	30	2	104	36	9	2	1	302
R	30	3	104	26	9	3	1	303
R	30	4	104	15	9	4	1	304
R	30	5	104	5	9	5	1	305
R	30	6	104	54	9	6	1	306
R	30	7	104	44	9	7	1	307
R	30	8	104	35	9	8	1	308
R	30	9	104	25	9	9	1	309
R	30	10	104	14	9	10	1	310
R	30	11	104	4	9	11	1	311
R	30	12	104	53	9	12	1	312
R	30	13	104	43	9	13	1	313
R	30	14	104	34	9	14	1	314
R	30	15	104	24	9	15	1	315
R	30	16	104	13	10	0	1	316
R	30	17	104	3	10	1	1	317
R	30	18	104	52	10	2	1	318
R	30	19	104	42	10	3	1	319
R	30	20	104	33	10	4	1	320
R	30	21	104	23	10	5	1	321
R	30	22	104	12	10	6	1	322
R	30	23	104	2	10	7	1	323
R	30	24	104	51	10	8	1	324
R	30	25	104	41	10	9	1	325
R	30	26	104	32	10	10	1	326
R	30	27	104	22	10	11	1	327
R	30	28	104	11	10	12	1	328
R	30	29	104	1	10	13	1	329
R	30	30	104	50	10	14	1	330
R	30	31	104	40	10	15	1	331
R	30	32	104	31	11	0	1	332
R	30	33	104	21	11	1	1	333
R	30	34	104	10	11	2	1	334
R	30	35	104	0	11	3	1	335
R	30	36	104	30	11	4	1	336
R	30	37	104	20	11	5	1	337
R	60	0	103	55	11	6	1	338
R	60	1	103	45	11	7	1	339
R	60	2	103	36	11	8	1	340
R	60	3	103	26	11	9	1	341
R	60	4	103	15	11	10	1	342
R	60	5	103	5	11	11	1	343
R	60	6	103	54	12	0	1	400
R	60	7	103	44	12	1	1	401
R	60	8	103	35	12	2	1	402
R	60	9	103	25	12	3	1	403
R	60	10	103	14	12	4	1	404
R	60	11	103	4	12	5	1	405
R	60	12	103	53	12	6	1	406
R	60	13	103	43	12	7	1	407
R	60	14	103	34	12	8	1	408
R	60	15	103	24	12	9	1	409
R	60	16	103	13	12	10	1	410
R	60	17	103	3	12	11	1	411
R	60	18	103	52	12	12	1	412
R	60	19	103	42	12	13	1	413
R	60	20	103	33	12	14	1	414
R	60	21	103	23	12	15	1	415
R	60	22	103	12	13	0	1	416
R	60	23	103	2	13	1	1	417
R	60	24	103	51	13	2	1	418
R	60	25	103	41	13	3	1	419
R	60	26	103	32	13	4	1	420
R	60	27	103	22	13	5	1	421
R	60	28	103	11	13	6	1	422
R	60	29	103	1	13	7	1	423
R	60	30	103	50	13	8	1	424
R	60	31	103	40	13	9	1	425
R	60	32	103	31	13	10	1	426
R	60	33	103	21	13	11	1	427
R	60	34	103	10	13	12	1	428
R	60	35	103	0	13	13	1	429
R	60	36	103	30	13	14	1	430
R	60	37	103	20	13	15	1	431
R	90	0	102	55	14	0	1	432
R	90	1	102	45	14	1	1	433
R	90	2	102	36	14	2	1	434
R	90	3	102	26	14	3	1	435
R	90	4	102	15	14	4	1	436
R	90	5	102	5	14	5	1	437
R	90	6	102	54	14	6	1	438
R	90	7	102	44	14	7	1	439
R	90	8	102	35	14	8	1	440
R	90	9	102	25	14	9	1	441
R	90	10	102	14	14	10	1	442
R	90	11	102	4	14	11	1	443
R	90	12	102	53	15	0	1	500
R	90	13	102	43	15	1	1	501
R	90	14	102	34	15	2	1	502
R	90	15	102	24	15	3	1	503
R	90	16	102	13	15	4	1	504
R	90	17	102	3	15	5	1	505
R	90	18	102	52	15	6	1	506
R	90	19	102	42	15	7	1	507
R	90	20	102	33	15	8	1	508
R	90	21	102	23	15	9	1	509
R	90	22	102	12	15	10	1	510
R	90	23	102	2	15	11	1	511
R	90	24	102	51	15	12	1	512
R	90	25	102	41	15	13	1	513
R	90	26	102	32	15	14	1	514
R	90	27	102	22	15	15	1	515
R	90	28	102	11	16	0	1	516
R	90	29	102	1	16	1	1	517
R	90	30	102	50	16	2	1	518
R	90	31	102	40	16	3	1	519
R	90	32	102	31	16	4	1	520
R	90	33	102	21	16	5	1	521
R	90	34	102	10	16	6	1	522
R	90	35	102	0	16	7	1	523
R	90	36	102	30	16	8	1	600
R	90	37	102	20	16	9	1	601
